segmento;keyword;prioridade;uf;cnae;descricao;fonte;url_detalhe
EQUIPAMENTOS;selaria;1;;1529-7/00;—;CONCLA/IBGE;https://concla.ibge.gov.br/busca-online-cnae.html?view=subclasse&tipo=cnae&versao=10.1.0&subclasse=1529700&chave=selaria
EQUIPAMENTOS;selaria;1;;2542-0/00;—;CONCLA/IBGE;https://concla.ibge.gov.br/busca-online-cnae.html?view=subclasse&tipo=cnae&versao=10.1.0&subclasse=2542000&chave=selaria
EQUIPAMENTOS;selaria;1;;4689-3/99;—;CONCLA/IBGE;https://concla.ibge.gov.br/busca-online-cnae.html?view=subclasse&tipo=cnae&versao=10.1.0&subclasse=4689399&chave=selaria
EQUIPAMENTOS;selaria;1;;4789-0/04;—;CONCLA/IBGE;https://concla.ibge.gov.br/busca-online-cnae.html?view=subclasse&tipo=cnae&versao=10.1.0&subclasse=4789004&chave=selaria
EVENTOS;feiras e exposições;3;;7319-0/01;—;CONCLA/IBGE;https://concla.ibge.gov.br/busca-online-cnae.html?view=subclasse&tipo=cnae&versao=10.1.0&subclasse=7319001&chave=feiras%20e%20exposições
EVENTOS;feiras e exposições;3;;8230-0/01;—;CONCLA/IBGE;https://concla.ibge.gov.br/busca-online-cnae.html?view=subclasse&tipo=cnae&versao=10.1.0&subclasse=8230001&chave=feiras%20e%20exposições
